process_name,file_name,prompting_technique,step_name,ethical_value,score,explanation,quotes
Process,accounts_receivable_process_172.gv,zero_shot,Recording the buyer's details,privacy,9,"This step involves collecting and storing personal or business details of the buyer. Without proper safeguards, this data could be misused, exposed, or collected without explicit consent, directly violating privacy principles.",Recording the buyer's details; Protection of personal and sensitive data throughout the process lifecycle
Process,accounts_receivable_process_172.gv,zero_shot,Recording the buyer's details,human_autonomy,7,"Buyers should be informed about the collection of their details and have the option to understand how their data will be used, aligning with the principle of informed consent.","Recording the buyer's details; Protection of individual agency, informed consent"
Process,accounts_receivable_process_172.gv,zero_shot,Recording the buyer's details,trust,8,"The initial act of recording buyer details sets the foundation for trust. If buyers perceive their data is not handled reliably or honestly, trust will be compromised.","Recording the buyer's details; Building reliable, honest and transparent relationships with all stakeholders"
Process,accounts_receivable_process_172.gv,zero_shot,Recording the buyer's details,transparency,7,"Transparency requires openness about what buyer details are being recorded and the purpose of their collection, ensuring the buyer understands the data flow.","Recording the buyer's details; Openness, traceability and explainability of process logic, data flows"
Process,accounts_receivable_process_172.gv,zero_shot,Sending the buyer your terms of sale,transparency,9,This step is crucial for ensuring the buyer fully understands the conditions of the sale. Lack of clarity or hidden clauses can undermine transparency and lead to future disputes.,"Sending the buyer your terms of sale; Openness, traceability and explainability of process logic"
Process,accounts_receivable_process_172.gv,zero_shot,Sending the buyer your terms of sale,human_autonomy,8,"For buyers to exercise their agency and make informed decisions, they must fully comprehend the terms of sale presented to them.","Sending the buyer your terms of sale; Protection of individual agency, informed consent"
Process,accounts_receivable_process_172.gv,zero_shot,Sending the buyer your terms of sale,fairness,8,"The terms of sale should be equitable and non-discriminatory, ensuring justice in the allocation of benefits and burdens between the seller and buyer.","Sending the buyer your terms of sale; Equitable, non-discriminatory treatment of all stakeholders, with justice in allocation of benefits and burdens"
Process,accounts_receivable_process_172.gv,zero_shot,Sending the buyer your terms of sale,trust,9,"Providing clear, fair, and honest terms of sale is fundamental to building and maintaining a reliable relationship with the buyer.","Sending the buyer your terms of sale; Building reliable, honest and transparent relationships with all stakeholders"
Process,accounts_receivable_process_172.gv,zero_shot,Generating the invoice,transparency,9,"The invoice serves as a critical document for transparency, detailing the charges, goods/services, and payment obligations. Any ambiguity can lead to confusion and distrust.","Generating the invoice; Openness, traceability and explainability of process logic, data flows"
Process,accounts_receivable_process_172.gv,zero_shot,Generating the invoice,fairness,8,The invoice must accurately reflect the agreed-upon terms and prices to ensure equitable treatment and justice in the financial transaction.,"Generating the invoice; Equitable, non-discriminatory treatment of all stakeholders, with justice in allocation of benefits and burdens"
Process,accounts_receivable_process_172.gv,zero_shot,Generating the invoice,trust,8,An accurate and transparent invoice builds trust by demonstrating honesty and reliability in financial dealings.,"Generating the invoice; Building reliable, honest and transparent relationships with all stakeholders"
Process,accounts_receivable_process_172.gv,zero_shot,Establishing monthly contact with your client,trust,9,"Consistent and appropriate contact fosters a reliable relationship. The nature of this contact (e.g., helpful vs. harassing) significantly impacts trust.","Establishing monthly contact with your client; Building reliable, honest and transparent relationships with all stakeholders"
Process,accounts_receivable_process_172.gv,zero_shot,Establishing monthly contact with your client,well_being,7,The manner and frequency of contact can affect the client's mental and social well-being. Overly aggressive or intrusive contact could be detrimental.,"Establishing monthly contact with your client; Promotion of physical, mental and social well-being of participants and communities"
Process,accounts_receivable_process_172.gv,zero_shot,Establishing monthly contact with your client,human_autonomy,6,"While establishing contact is part of the process, respecting the client's preferences regarding communication channels and frequency can uphold their agency.",Establishing monthly contact with your client; Protection of individual agency
Process,accounts_receivable_process_172.gv,zero_shot,Establishing monthly contact with your client,transparency,7,"The purpose of the contact should be transparent to the client, avoiding ambiguity or hidden agendas.","Establishing monthly contact with your client; Openness, traceability and explainability of process logic"
Process,accounts_receivable_process_172.gv,zero_shot,Recording your activity digitally,transparency,8,"Digital recording can significantly improve the traceability and explainability of activities, contributing to overall process transparency.","Recording your activity digitally; Openness, traceability and explainability of process logic, data flows"
