process_name,file_name,prompting_technique,step_name,ethical_value,score,explanation,quotes
Gemma-2.5Pro,accounts_receivable_process_accounts_receivable_process_102.gv,zero_shot,Record Buyer's Details,privacy,9,"This initial step involves collecting and storing a buyer's information, which is likely to include personal or sensitive business data. The protection of this data from unauthorized access or misuse is a primary ethical concern. A failure to secure this information constitutes a significant privacy violation.",record the buyer's details
Gemma-2.5Pro,accounts_receivable_process_accounts_receivable_process_102.gv,zero_shot,Record Buyer's Details,human_autonomy,7,"Buyers should be able to provide informed consent regarding the collection and use of their data. The process description does not mention informing the buyer or obtaining consent, which puts the buyer's right to control their own information at risk.",record the buyer's details
Gemma-2.5Pro,accounts_receivable_process_accounts_receivable_process_102.gv,zero_shot,Record Buyer's Details,trust,8,"The manner in which a company handles a buyer's details at the very first point of contact is foundational to the business relationship. Secure, respectful, and transparent data handling builds trust, while carelessness can destroy it immediately.",record the buyer's details
Gemma-2.5Pro,accounts_receivable_process_accounts_receivable_process_102.gv,zero_shot,Run Credit Check,fairness,9,"Credit checks can determine a company's ability to do business on favorable terms. The criteria and any automated models used for this check must be free from bias to ensure all companies are treated equitably. Unfair criteria could disproportionately harm certain types of businesses (e.g., new or minority-owned).",running a credit check on the purchasing company
Gemma-2.5Pro,accounts_receivable_process_accounts_receivable_process_102.gv,zero_shot,Run Credit Check,transparency,8,"The logic, data sources, and criteria used in the credit check should be explainable. A lack of transparency can make it impossible for a company to understand or challenge a negative decision, creating a perception of unfairness and undermining trust.",running a credit check on the purchasing company
Gemma-2.5Pro,accounts_receivable_process_accounts_receivable_process_102.gv,zero_shot,Run Credit Check,accountability,7,"Clear mechanisms must be in place to hold the organization answerable for the outcomes of the credit check. If a decision is based on flawed data or a biased algorithm, there must be a process for recourse and correction.",running a credit check on the purchasing company
Gemma-2.5Pro,accounts_receivable_process_accounts_receivable_process_102.gv,zero_shot,Run Credit Check,privacy,8,The process of a credit check involves accessing highly sensitive financial information about the purchasing company. This data requires stringent protection to ensure it is used only for its intended purpose and is not exposed or misused.,running a credit check on the purchasing company
Gemma-2.5Pro,accounts_receivable_process_accounts_receivable_process_102.gv,zero_shot,Invoice and Payment Terms,fairness,7,Payment terms can represent a significant benefit or burden. These terms should be applied consistently and equitably to similar classes of customers. Offering preferential terms without objective justification can be discriminatory.,checking customer payment terms
Gemma-2.5Pro,accounts_receivable_process_accounts_receivable_process_102.gv,zero_shot,Invoice and Payment Terms,transparency,8,"All details on an invoice, including charges, due dates, and associated payment terms, must be clear, complete, and unambiguous. Hidden fees or confusing language would violate the principle of open and honest communication with the customer.",sending the invoice in your accounting software; checking customer payment terms
Gemma-2.5Pro,accounts_receivable_process_accounts_receivable_process_102.gv,zero_shot,Invoice and Payment Terms,trust,7,"Clear and fair invoicing is a critical component of a trustworthy business relationship. Customers must be confident that they are being billed accurately and that the terms are just, reinforcing the company's reliability.",sending the invoice in your accounting software; checking customer payment terms
Gemma-2.5Pro,accounts_receivable_process_accounts_receivable_process_102.gv,zero_shot,Client Contact and Record Keeping,privacy,8,"Creating and storing additional copies of client records, especially a physical copy, increases the surface area for a potential data breach. Both the digital and physical records contain sensitive activity information that must be securely managed and protected.",making a second physical copy; recording your activity digitally
